Tên;Địa Chỉ;Phân loại;Lat;Lng
Melias Vinpearl Tây Ninh;https://maps.app.goo.gl/eb72vpNXseeUojkq8;Lưu trú;11.31984;106.0999
Sunrise Hotel Tây Ninh;https://maps.app.goo.gl/3LpWKkbbjFmecv7V9;Lưu trú;11.30460;106.1052
Tama House;https://maps.app.goo.gl/tFkDm5mz3fqLpWTr7;Lưu trú;11.31789;106.1017
Mermaid Homestay;https://maps.app.goo.gl/eEPD6E1cD4uzrfEB6;Lưu trú;11.34276;106.1391
Maison Camellia;https://maps.app.goo.gl/jBxCergHpXPsw3qN9;Lưu trú;11.32754;106.1112
Dưới tán cây Homestay;https://maps.app.goo.gl/RAH4Dzrsu4Wy3SJq8;Lưu trú;11.31148;106.0981
Ariana Hotel;https://maps.app.goo.gl/aUotLekG2ebf9Sbf8;Lưu trú;11.31968;106.1009
Homestay HƯơng Xưa;https://maps.app.goo.gl/MxuDesnHtyai1nVv6;Lưu trú;11.31494;106.1071
Homestay Cây Thị;https://maps.app.goo.gl/qRvUZ38AtoRVQkav6;Lưu trú;11.31102;106.1083
Lazania Đất Thánh;https://maps.app.goo.gl/bHizKp4gNWD6tfZN9;Lưu trú;11.31181;106.1067
Mekong Camping;https://maps.app.goo.gl/QrDBo13ERCNdzn3P8;Lưu trú;11.34852;106.1091
The Q Villa Retreat;https://maps.app.goo.gl/DqY3HMacQDA8EqaA9;Lưu trú;11.38227;106.1262
Thong Dong Homestay;https://maps.app.goo.gl/akQvhwJsYzJaouYT8;Lưu trú;11.36972;106.1880
Homestay Lyly;https://maps.app.goo.gl/KZHAUkwrXU6T1VuX6;Lưu trú;11.35753;106.1881
Hale Homestay;https://maps.app.goo.gl/kz9UuZUuReqoZN9e8;Lưu trú;11.31025;106.1242
50b Homestay;https://maps.app.goo.gl/TME1HNSypQEvJH6W8;Lưu trú;11.30085;106.1173
Lanita Hotel;https://maps.app.goo.gl/NjpgYFbwGffEeu4G7;Lưu trú;11.33441;106.1133
Quán 10 Nu;https://maps.app.goo.gl/NUPc6fR4U91nSKzE8;Ẩm Thực;11.32096;106.1371
Bò Tơ Cư Trú;https://maps.app.goo.gl/BYRupWV81hdoP2Wa8;Ẩm Thực;11.31629;106.1324
The Eros 143;https://maps.app.goo.gl/yC5BEBNd6h3LpFQc7;Ẩm Thực;11.30902;106.1257
Vườn Nhà Grill;https://maps.app.goo.gl/e9jHFhNV66ZnsKRC9;Ẩm Thực;11.31546;106.1066
Garbo 986;https://maps.app.goo.gl/K8PrPnQhYACk4nBy5;Ẩm Thực;11.31938;106.1000
North House;https://maps.app.goo.gl/3dV7nkKSXkx3cBVaA;Ẩm Thực;11.32166;106.0991
Eve Bistro;https://maps.app.goo.gl/4rVBbzUK995abWhWA;Ẩm Thực;11.30372;106.1124
Quán ăn gia đình suối môn;https://maps.app.goo.gl/Ugy2ZtYECZqy8744A;Ẩm Thực;11.37539;106.1874
Bò tơ thanh thúy;https://maps.app.goo.gl/SnLmb9BZ7FB45SGk6;Ẩm Thực;11.30629;106.1451
Bò tơ tư hồng 2;https://maps.app.goo.gl/s6X1vuWRzJt88w1h7;Ẩm Thực;11.30024;106.1280
Nhà hàng long trung;https://maps.app.goo.gl/VuR8YBpM3Uwmz4y67;Ẩm Thực;11.27697;106.1180
Hủ tiếu chay cầu khởi;https://maps.app.goo.gl/13jAZm6768HMSs3u9;Ẩm Thực;11.26294;106.2284
Bò mâm garden;https://maps.app.goo.gl/PnJGrpNY46QToxQR7;Ẩm Thực;11.31828;106.0809
Lữ quán;https://maps.app.goo.gl/C2XSXM3D8dAHqZeq9;Ẩm Thực;11.37721;106.1501
Núi lở;https://maps.app.goo.gl/LqxhLKNZGNVa5h7D6;Ẩm Thực;11.31676;106.3453
Cơm trâu bò út nghĩa;https://maps.app.goo.gl/Q5okMGNikdELBmyk8;Ẩm Thực;11.09857;106.3376
Cơm lò bò thu trang;https://maps.app.goo.gl/fMeyrukAxyDMrZFH8;Ẩm Thực;11.09640;106.3386
Phở Bèo;https://maps.app.goo.gl/Sufk9dSM8TyaKmuM8;Ẩm Thực;11.30710;106.1155
